date,wau,retained,new,resurrected,churned
06-05-2017,2,2,0,0,-5
06-12-2017,9,2,2,5,0
06-19-2017,9,6,1,2,-3
06-26-2017,7,5,0,2,-4
07-03-2017,4,2,0,2,-5
07-10-2017,5,3,1,1,-1
07-17-2017,4,2,0,2,-3
07-24-2017,4,3,0,1,-1
07-31-2017,4,2,0,2,-2
08-07-2017,5,2,1,2,-2
08-14-2017,4,2,0,2,-3
08-21-2017,5,3,0,2,-1
08-28-2017,5,4,0,1,-1
09-04-2017,6,4,1,1,-1
09-11-2017,5,3,0,2,-3
09-18-2017,6,4,0,2,-1
09-25-2017,10,4,3,3,-2
10-02-2017,6,5,0,1,-5
10-09-2017,7,4,0,3,-2
10-16-2017,8,4,0,4,-3
10-23-2017,8,7,0,1,-1
10-30-2017,8,6,0,2,-2
11-06-2017,10,7,1,2,-1
11-13-2017,11,7,0,4,-3
11-20-2017,7,6,0,1,-5
11-27-2017,9,5,0,4,-2
12-04-2017,10,7,0,3,-2
12-11-2017,7,7,0,0,-3
12-18-2017,8,5,0,3,-2
12-25-2017,2,1,0,1,-7
01-01-2018,9,2,0,7,0
01-08-2018,4,2,0,2,-7
01-15-2018,9,4,0,5,0
01-22-2018,9,6,0,3,-3
01-29-2018,7,6,0,1,-3
02-05-2018,6,4,0,2,-3
02-12-2018,8,4,0,4,-2
02-19-2018,12,6,2,4,-2
02-26-2018,9,8,0,1,-4
03-05-2018,11,8,0,3,-1
03-12-2018,13,11,1,1,0
03-19-2018,8,8,0,0,-5
03-26-2018,9,6,1,2,-2
04-02-2018,11,7,1,3,-2
04-09-2018,11,8,1,2,-3
04-16-2018,13,7,3,3,-4
04-23-2018,14,9,1,4,-4
04-30-2018,11,10,0,1,-4
05-07-2018,12,11,0,1,0
05-14-2018,10,9,1,0,-3
05-21-2018,11,8,1,2,-2
05-28-2018,10,8,1,1,-3
06-04-2018,12,8,1,3,-2
06-11-2018,10,8,1,1,-4
06-18-2018,11,8,1,2,-2
06-25-2018,8,7,0,1,-4
07-02-2018,11,5,1,5,-3
07-09-2018,9,6,1,2,-5
07-16-2018,11,6,1,4,-3
07-23-2018,9,7,0,2,-4
07-30-2018,6,4,1,1,-5
08-06-2018,11,4,0,7,-2
08-13-2018,7,6,0,1,-5
08-20-2018,11,6,0,5,-1
08-27-2018,12,9,1,2,-2
09-03-2018,16,11,2,3,-1
09-10-2018,7,7,0,0,-9
09-17-2018,8,5,0,3,-2
09-24-2018,14,7,2,5,-1
10-01-2018,14,10,1,3,-4
10-08-2018,11,9,0,2,-5
10-15-2018,9,7,0,2,-4
10-22-2018,16,8,2,6,-1
10-29-2018,11,10,0,1,-6
11-05-2018,15,9,0,6,-2
11-12-2018,15,10,1,4,-5
11-19-2018,9,7,1,1,-8
11-26-2018,12,8,0,4,-1
12-03-2018,8,7,0,1,-5
12-10-2018,12,6,1,5,-2
12-17-2018,11,7,0,4,-5
12-24-2018,3,2,0,1,-9
12-31-2018,7,3,0,4,0
01-07-2019,20,6,3,11,-1
01-14-2019,29,17,7,5,-3
01-21-2019,12,9,2,1,-20
01-28-2019,22,9,1,12,-3
02-04-2019,17,13,2,2,-9
02-11-2019,13,12,0,1,-5
02-18-2019,8,6,1,1,-7
02-25-2019,15,5,2,8,-3
03-04-2019,16,11,0,5,-4
03-11-2019,16,12,1,3,-4
03-18-2019,15,13,1,1,-3
03-25-2019,15,12,1,2,-3
04-01-2019,13,10,0,3,-5
04-08-2019,18,11,1,6,-2
04-15-2019,10,10,0,0,-8
04-22-2019,16,8,1,7,-2
04-29-2019,14,11,1,2,-5
05-06-2019,14,8,1,5,-6
05-13-2019,12,10,0,2,-4
05-20-2019,15,11,1,3,-1
05-27-2019,15,10,1,4,-5
06-03-2019,13,10,1,2,-5
06-10-2019,18,11,4,3,-2
06-17-2019,16,15,0,1,-3
06-24-2019,22,16,3,3,0
07-01-2019,19,17,0,2,-5
07-08-2019,24,16,2,6,-3
07-15-2019,30,21,4,5,-3
07-22-2019,24,23,0,1,-7
07-29-2019,23,21,0,2,-3
08-05-2019,23,17,0,6,-6
08-12-2019,22,18,0,4,-5
08-19-2019,20,15,2,3,-7
08-26-2019,27,16,3,8,-4
09-02-2019,22,19,0,3,-8
09-09-2019,17,15,0,2,-7
09-16-2019,18,12,0,6,-5
09-23-2019,20,13,1,6,-5
09-30-2019,18,12,2,4,-8
10-07-2019,22,11,3,8,-7
10-14-2019,21,16,1,4,-6
10-21-2019,19,14,0,5,-7
10-28-2019,18,12,2,4,-7
11-04-2019,19,11,1,7,-7
11-11-2019,21,12,1,8,-7
11-18-2019,20,13,2,5,-8
11-25-2019,17,12,1,4,-8
12-02-2019,17,9,0,8,-8
12-09-2019,16,10,1,5,-7
12-16-2019,22,12,5,5,-4
12-23-2019,7,4,1,2,-18
12-30-2019,5,4,0,1,-3
01-06-2020,14,5,2,7,0
01-13-2020,5,3,0,2,-11
01-20-2020,18,4,3,11,-1
01-27-2020,21,11,1,9,-7
02-03-2020,24,14,0,10,-7
